Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
fisher-price-shimmer-and-shine-genie-gem-microphone,Fisher Price Shimmer and Shine Genie Gem Microphone,Sing along to your favorite Shimmer and Shine songs! This magical microphone comes in Shimmer's signature pink and purple colors and features songs from the television show and a sparkly genie gem top that lights up to the music!.,FISHER PRICE,Uncategorized,TOYS,"egnition-sample-data, fisher-price, toys",True,Title,Default Title,,,,,,,,TOY62,0.0,shopify,deny,manual,24.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_106_image1.jpg?v=1778068036,1.0,Fisher Price Shimmer and Shine Genie Gem Microphone,False,,,,,,lb,,,,,,active
fisher-price-shimmer-and-shine-wish-and-wear-genie-necklace,Fisher Price Shimmer and Shine - Wish and Wear Genie Necklace,This beautiful jeweled necklace features a very special surprise your best friends Shimmer and Shine hiding inside! Press the gem at the top of the bottle to see the bottle light up and the genies appear! Fun phrases and a song add to the magic!,FISHER PRICE,Uncategorized,TOYS,"egnition-sample-data, fisher-price, toys",True,Title,Default Title,,,,,,,,TOY61,0.0,shopify,deny,manual,24.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_105_image1.jpg?v=1778068030,1.0,Fisher Price Shimmer and Shine - Wish and Wear Genie Necklace,False,,,,,,lb,,,,,,active
megablocks-call-of-duty-atlas-mobile-turret,MegaBlocks Call of Duty Atlas Mobile Turret,"Buildable Atlas Mobile Turret with articulated robotic legs, rubber wheels, and 360-degree rotating pivot-mounted cannon. Includes three highly detailed, super-poseable soldier micro action figures, including one clear resin active camo micro action figure",MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY60,0.0,shopify,deny,manual,24.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_104_image1.jpg?v=1778068024,1.0,MegaBlocks Call of Duty Atlas Mobile Turret,False,,,,,,lb,,,,,,active
megablocks-halo-brute-chopper-raid,MegaBlocks Halo Brute Chopper Raid,"Buildable Brute Chopper with camo finish and large double front wheel. Vehicle features articulated, swiveling design.",MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY59,0.0,shopify,deny,manual,16.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_103_image1.jpg?v=1778068018,1.0,MegaBlocks Halo Brute Chopper Raid,False,,,,,,lb,,,,,,active
fisher-price-mega-bloks-elephant-parade,Fisher-Price Mega Bloks Elephant Parade,Tumble into playtime with a friendly elephant and a buildable animal parade! Roll out adventure from trunk to tail when you build with a friendly elephant and a parade of colorful animal friends!,MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, fisher-price, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY58,0.0,shopify,deny,manual,56.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_102_image1.jpg?v=1778068013,1.0,Fisher-Price Mega Bloks Elephant Parade,False,,,,,,lb,,,,,,active
mega-bloks-freddy-firetruck,Mega Bloks Freddy Firetruck,Freddy Firetruck with raising ladder and small storage compartment. Includes one Firefighter Block Buddy and six blocks,MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY57,0.0,shopify,deny,manual,25.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_101_image1.jpg?v=1778068007,1.0,Mega Bloks Freddy Firetruck,False,,,,,,lb,,,,,,active
mega-bloks-halo-wireless-attack-mantis-set,Mega Bloks Halo Wireless Attack Mantis Set,Build Them Up! Make new discoveries with building blocks! The Mega Bloks Halo Wireless Attack Mantis Set consists of colorful and perfectly sized pieces for small hands. Let your children learn and grow as they grasp and stack towers.,MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY56,0.0,shopify,deny,manual,94.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_100_image1.png?v=1778068001,1.0,Mega Bloks Halo Wireless Attack Mantis Set,False,,,,,,lb,,,,,,active
megablocks-call-of-duty-wraith-attack,MegaBlocks Call of Duty Wraith Attack,"Buildable drone aircraft with articulated wings, dual propellers, surveillance panel, and multi-directional front cannon and side machine guns.",MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY55,0.0,shopify,deny,manual,59.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_99_image1.jpg?v=1778067995,1.0,MegaBlocks Call of Duty Wraith Attack,False,,,,,,lb,,,,,,active
thomas-and-friends-megabloks-sodar-adventures,Thomas and Friends Megabloks Sodar Adventures,"All aboard! Now even the littlest Thomas fans can visit the Island of Sodor most famous sights when they use the big blocks to bring iconic locations from the world of Thomas &amp; Friends to life! Build Thomas, then chuff out from Maron Station and head to Knapford before stopping in for repairs at the Sodor Steamworks!",MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY54,0.0,shopify,deny,manual,42.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_98_image1.jpg?v=1778067990,1.0,Thomas and Friends Megabloks Sodar Adventures,False,,,,,,lb,,,,,,active
mega-bloks-thomas-and-friends,Mega Bloks Thomas and Friends,Mega Bloks Thomas and Friends (Toby),MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY53,0.0,shopify,deny,manual,19.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_97_image1.jpg?v=1778067984,1.0,Mega Bloks Thomas and Friends,False,,,,,,lb,,,,,,active
